AREA,COUNTRY,D1,D2,D3,D4,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,DIS_RIVER,ELEV_SRTM,ELEV_SRTM_PRED,LAT,LONGITUDE,LONG_NAME,MATTVEG,MER1990_40,MER1995_40,MER2000_40,MER2005_40,NEWCOUNTRYID,POPGPW_1990_40,POPGPW_1995_40,POPGPW_2000_40,POPGPW_2005_40,PPP1990_40,PPP1995_40,PPP2000_40,PPP2005_40,PREC_NEW,PRECMAX,PRECMIN,PRECSD,PRECAVNEW80_08,PRECSDNEW80_08,QUALITY,RIG_xi0710,ROUGH,SOIL_UNIT,TEMP_NEW,TEMPAV_8008,TEMPMAX,TEMPMIN,TEMPSD,TEMPSD80_08,QUALITY_REVISION,DATE OF LAST,,,,,,,,,
6553.141,Canada,991.2279,991.2279,991.2279,721.2911,721291.1,1309637,991227.9,1304106,230.7936,230.7936,58,-73,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,498,75.11,22.18,19.08,515.8413793,47.77751511,1,1,0.03,2,-4.15,-5.103376448,9.22,-24.23,12.59,1.287468948,3,2/1/11,,,,,,,,,
6553.141,Canada,969.1386,969.1386,969.1386,691.0544,691054.4,1307957,969138.6,1302419,240.06,240.06,58,-72,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,510.6,73.87,24.08,18.14,540.4431,50.61424043,1,1,0.04,2,-3.4,-4.646695414,9.16,-24.1,12.53,1.304304099,3,2/1/11,,,,,,,,,
6520.375,Canada,950.5329,950.5329,950.5329,664.9401,664940.1,1307432,950532.9,1303754,208.2619,208.2619,58,-71,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,521.2,70.86,25.21,16.87,554.0956897,60.08429164,0.5,0.995,0.03,2,-2.85,-4.248563172,9.29,-23.8,12.47,1.294028301,3,2/1/11,,,,,,,,,
0,Canada,15.1948,15.1948,15.1948,15.1948,225337.3,1811237,15194.8,1522908,338.5003,338.5003,59,-140,Canada,0,0,0,0,0,124,0,0,0,0,0,0,0,0,3601.6,395.97,127.68,79.58,3495.32069,817.4327812,-1,0,0.28,0,3.5,-0.887931045,11.72,-8.57,7.5,0.713794007,3,2/1/11,,,,,,,,,
210.2286,Canada,1218.468,1218.468,1218.468,986.2357,986235.7,1434292,1218468,1432015,17.21434,17.21434,59,-79,Canada,0,0,0,0,0,124,0,0,0,0,0,0,0,0,470,61.37,10.97,18.98,#DIV/0!,#DIV/0!,1,0.033,0.01,0,-5.83,#DIV/0!,8.73,-25.57,12.81,#DIV/0!,3,2/1/11,,,,,,,,,
6370.563,Canada,1200.643,1200.643,1200.643,951.6235,951623.5,1452985,1200643,1449675,102.1872,102.1872,59,-77,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,472.8,64.75,14.58,18.51,481.8922414,64.12768273,1,1,0.04,2,-6.43,-6.531106345,8.33,-25.28,12.55,1.394141114,3,2/1/11,,,,,,,,,
6370.563,Canada,1169.982,1169.982,1169.982,913.6998,913699.8,1440815,1169982,1436939,139.3858,139.3858,59,-76,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,468.6,67.9,16.86,18.41,475.9715517,58.34992568,1,1,0.02,2,-6.4,-6.703520138,8.34,-25.15,12.51,1.389065525,3,2/1/11,,,,,,,,,
6370.563,Canada,1141.791,1141.791,1141.791,878.2554,878255.4,1431381,1141791,1426933,172.3126,172.3126,59,-75,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,464.9,69.57,18.35,18.22,468.125,53.35052425,1,1,0.01,2,-5.88,-6.685201138,8.44,-24.96,12.48,1.385155209,3,2/1/11,,,,,,,,,
6370.563,Canada,1116.272,1116.272,1116.272,845.6066,845606.6,1424737,1116272,1419717,195.2062,195.2062,59,-74,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,465.9,69.97,19.45,17.93,464.6189655,50.74896448,1,1,0.01,2,-5.1,-5.925502862,8.49,-24.74,12.45,1.408456651,3,2/1/11,,,,,,,,,
6370.563,Canada,1093.644,1093.644,1093.644,816.0932,816093.2,1420924,1093644,1415335,213.6477,213.6477,59,-73,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,469,69.45,20.66,17.47,470.3413793,51.17902502,1,1,0.03,2,-4,-4.997054552,8.41,-24.48,12.35,1.479509902,3,2/1/11,,,,,,,,,
